annotation_id,annotation_uri,pleiades_place_id,pleiades_place_uri,citation_reference,citation_uri,citation_title,creator,created,place_name,latitude,longitude,location_precision,place_description
596,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#596,570685,http://pleiades.stoa.org/places/570577#this,greekLit:tlg0003.tlg001.perseus-eng3:3.7,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.7,"Thucydides, The Peloponnesian War 3.7",Perseus Digital Library,2013-10-16,Sparta,37.08184552460426,22.42468254617709,precise,"The large peninsula protuding into the Mediterranean Sea that constitutes the southern part of Greece. It is largely separated from mainland Greece on the north by the Corinthian Gulf, joining it only in the northeast via the narrow Isthmus of Corinth."
597,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#597,570685,http://pleiades.stoa.org/places/570577#this,greekLit:tlg0003.tlg001.perseus-eng3:3.16,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.16,"Thucydides, The Peloponnesian War 3.16",Perseus Digital Library,2013-10-16,Sparta,37.08184552460426,22.42468254617709,precise,"The large peninsula protuding into the Mediterranean Sea that constitutes the southern part of Greece. It is largely separated from mainland Greece on the north by the Corinthian Gulf, joining it only in the northeast via the narrow Isthmus of Corinth."
600,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#600,570685,http://pleiades.stoa.org/places/570577#this,greekLit:tlg0003.tlg001.perseus-eng3:3.17,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.17,"Thucydides, The Peloponnesian War 3.17",Perseus Digital Library,2013-10-16,Sparta,37.08184552460426,22.42468254617709,precise,"The large peninsula protuding into the Mediterranean Sea that constitutes the southern part of Greece. It is largely separated from mainland Greece on the north by the Corinthian Gulf, joining it only in the northeast via the narrow Isthmus of Corinth."
601,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#601,570685,http://pleiades.stoa.org/places/570577#this,greekLit:tlg0003.tlg001.perseus-eng3:3.27,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.27,"Thucydides, The Peloponnesian War 3.27",Perseus Digital Library,2013-10-16,Sparta,37.08184552460426,22.42468254617709,precise,"The large peninsula protuding into the Mediterranean Sea that constitutes the southern part of Greece. It is largely separated from mainland Greece on the north by the Corinthian Gulf, joining it only in the northeast via the narrow Isthmus of Corinth."
602,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#602,570685,http://pleiades.stoa.org/places/570577#this,greekLit:tlg0003.tlg001.perseus-eng3:3.29,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.29,"Thucydides, The Peloponnesian War 3.29",Perseus Digital Library,2013-10-16,Sparta,37.08184552460426,22.42468254617709,precise,"The large peninsula protuding into the Mediterranean Sea that constitutes the southern part of Greece. It is largely separated from mainland Greece on the north by the Corinthian Gulf, joining it only in the northeast via the narrow Isthmus of Corinth."
603,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#603,570685,http://pleiades.stoa.org/places/570577#this,greekLit:tlg0003.tlg001.perseus-eng3:3.31,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.31,"Thucydides, The Peloponnesian War 3.31",Perseus Digital Library,2013-10-16,Sparta,37.08184552460426,22.42468254617709,precise,"The large peninsula protuding into the Mediterranean Sea that constitutes the southern part of Greece. It is largely separated from mainland Greece on the north by the Corinthian Gulf, joining it only in the northeast via the narrow Isthmus of Corinth."
604,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#604,570685,http://pleiades.stoa.org/places/570577#this,greekLit:tlg0003.tlg001.perseus-eng3:3.33,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.33,"Thucydides, The Peloponnesian War 3.33",Perseus Digital Library,2013-10-16,Sparta,37.08184552460426,22.42468254617709,precise,"The large peninsula protuding into the Mediterranean Sea that constitutes the southern part of Greece. It is largely separated from mainland Greece on the north by the Corinthian Gulf, joining it only in the northeast via the narrow Isthmus of Corinth."
605,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#605,570685,http://pleiades.stoa.org/places/570577#this,greekLit:tlg0003.tlg001.perseus-eng3:3.69,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.69,"Thucydides, The Peloponnesian War 3.69",Perseus Digital Library,2013-10-16,Sparta,37.08184552460426,22.42468254617709,precise,"The large peninsula protuding into the Mediterranean Sea that constitutes the southern part of Greece. It is largely separated from mainland Greece on the north by the Corinthian Gulf, joining it only in the northeast via the narrow Isthmus of Corinth."
606,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#606,570685,http://pleiades.stoa.org/places/570577#this,greekLit:tlg0003.tlg001.perseus-eng3:3.86,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.86,"Thucydides, The Peloponnesian War 3.86",Perseus Digital Library,2013-10-16,Sparta,37.08184552460426,22.42468254617709,precise,"The large peninsula protuding into the Mediterranean Sea that constitutes the southern part of Greece. It is largely separated from mainland Greece on the north by the Corinthian Gulf, joining it only in the northeast via the narrow Isthmus of Corinth."
607,http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3#607,570685,http://pleiades.stoa.org/places/570577#this,greekLit:tlg0003.tlg001.perseus-eng3:3.91,http://data.perseus.org/citations/urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.91,"Thucydides, The Peloponnesian War 3.91",Perseus Digital Library,2013-10-16,Sparta,37.08184552460426,22.42468254617709,precise,"The large peninsula protuding into the Mediterranean Sea that constitutes the southern part of Greece. It is largely separated from mainland Greece on the north by the Corinthian Gulf, joining it only in the northeast via the narrow Isthmus of Corinth."
