pleiades_place_id,place_name,mention_count,person_count,individual_count,group_count,pct_named,latitude,longitude,location_precision,all_citations
511357,Perinthus,2,,,,,40.971013,27.952973,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.100; greekLit:tlg0003.tlg001.perseus-eng3:3.92
550435,Antissa,2,,,,,39.29138196809891,26.01898649974304,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.18; greekLit:tlg0003.tlg001.perseus-eng3:3.28
541138,Thebes,2,16.0,1.0,15.0,6.25,38.319948833333335,23.317653433333334,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.22; greekLit:tlg0003.tlg001.perseus-eng3:3.24
530794,Ambracia,2,26.0,0.0,26.0,0.0,39.1549245,20.990092500000003,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.113; greekLit:tlg0003.tlg001.perseus-eng3:3.114
550738,Methymna,2,,,,,39.369167,26.176891,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.18; greekLit:tlg0003.tlg001.perseus-eng3:3.2
599612,Ephesus/Arsinoe(ia),2,,,,,37.940164271971945,27.34240298195866,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.104; greekLit:tlg0003.tlg001.perseus-eng3:3.32
550911,Tenedos,2,1.0,0.0,1.0,0.0,39.8343172,26.06963835,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.28; greekLit:tlg0003.tlg001.perseus-eng3:3.35
541157,Trachis/Herakleia,2,3.0,1.0,2.0,33.3,38.792037,22.447577,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.100; greekLit:tlg0003.tlg001.perseus-eng3:3.92
541140,Thermopylae,1,,,,,38.79600000000001,22.543644,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.92
1052,Italia,1,,,,,43.6941505,11.0949512,rough,greekLit:tlg0003.tlg001.perseus-eng3:3.86
462077,Aetna,1,,,,,37.75723275646079,14.984597856051682,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.116
570504,Nemea,1,,,,,37.80905853069708,22.710679536483795,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.96
599577,Colophon,1,4.0,0.0,4.0,0.0,38.108253,27.1483085,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.34
481818,Dyrr(h)achium/Epidamnos,1,,,,,41.3163425,19.447355,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.70
580114,Tanagra,1,2.0,0.0,2.0,0.0,38.309293524969846,23.58648747783495,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.91
570531,Olympia,1,,,,,37.63868719225715,21.630843690589423,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.8
491677,Olympos (mountain in Greece),1,,,,,40.085556,22.358611,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.8
579844,Aegina (island),1,1.0,0.0,1.0,0.0,37.73456251315417,23.489302083723413,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.72
462503,Syracuse,1,9.0,0.0,9.0,0.0,37.07007897101367,15.283335658142615,rough,greekLit:tlg0003.tlg001.perseus-eng3:3.103
619235,Parnassos,1,,,,,38.9918185,33.570111,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.95
589748,Creta (island),1,,,,,35.2148470630119,25.074079692118698,rough,greekLit:tlg0003.tlg001.perseus-eng3:3.69
1001889,Thrace,1,,,,,42.5,27.5,rough,greekLit:tlg0003.tlg001.perseus-eng3:3.92
599564,Caria (region),1,,,,,37.437078612236505,28.04488373784654,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.19
465922,Inessa/Aitna,1,,,,,,,rough,greekLit:tlg0003.tlg001.perseus-eng3:3.103
540841,Ithome/Thamiai (Thessaly),1,,,,,39.41554703319896,21.801837477150567,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.54
599871,Patmos,1,,,,,37.3091187,26.5464039,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.33
462538,Zancle/Messana,1,,,,,38.192251,15.556634,precise,greekLit:tlg0003.tlg001.perseus-eng3:3.90
