UUID;FILE;QUOTE_TRANSCRIPTION;ANCHOR;TYPE;TAGS;origin;pleiades_id;side;anonymous;offset;place_name;latitude;longitude;location_precision;mention_count
5fa081bd-6cdf-4a14-bb68-c3e0e89d5fdb;book3_thucydides_utf8.txt;Alcidas;char-offset:86874;PERSON;side:Sparthan|origin:Sparta|pleiades:570685;Sparta;570685;Sparthan;FALSE;86874.0;Sparta;37.08184552460426;22.424682546177092;precise;14
54df7158-b121-4584-9e44-1117c47dae38;book3_thucydides_utf8.txt;Alcidas;char-offset:93273;PERSON;side:Sparthan|origin:Sparta|pleiades:570685;Sparta;570685;Sparthan;FALSE;93273.0;Sparta;37.08184552460426;22.424682546177092;precise;14
28e8f94c-5115-4c6a-8d17-37555ada11e5;book3_thucydides_utf8.txt;Alcidas;char-offset:87163;PERSON;side:Sparthan|origin:Sparta|pleiades:570685;Sparta;570685;Sparthan;FALSE;87163.0;Sparta;37.08184552460426;22.424682546177092;precise;14
8ff4a9f1-811f-4ae3-aaf0-8a9ebf6ac9b1;book3_thucydides_utf8.txt;Alcidas;char-offset:28372;PERSON;side:Sparthan|origin:Sparta|pleiades:570685;Sparta;570685;Sparthan;FALSE;28372.0;Sparta;37.08184552460426;22.424682546177092;precise;14
3e1cd30a-984b-492b-91c8-ff387ba989f0;book3_thucydides_utf8.txt;Alcidas;char-offset:95796;PERSON;side:Sparthan|origin:Sparta|pleiades:570685;Sparta;570685;Sparthan;FALSE;95796.0;Sparta;37.08184552460426;22.424682546177092;precise;14
22a94ae8-b636-4c2a-9c13-1ee9f5343663;book3_thucydides_utf8.txt;Paches;char-offset:30318;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;30318.0;Athenae;37.97158606761233;23.723824697002375;rough;14
544ec2d0-5206-4b44-bd40-5793fadc3dc8;book3_thucydides_utf8.txt;Paches;char-offset:36880;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;36880.0;Athenae;37.97158606761233;23.723824697002375;rough;14
b6e46708-7e77-4a8d-8c4a-6d1f8e54fc2e;book3_thucydides_utf8.txt;Alcidas;char-offset:35341;PERSON;side:Sparthan|origin:Sparta|pleiades:570685;Sparta;570685;Sparthan;FALSE;35341.0;Sparta;37.08184552460426;22.424682546177092;precise;14
aa565412-db2c-43e6-a738-5e76906d6a88;book3_thucydides_utf8.txt;Alcidas;char-offset:31785;PERSON;side:Sparthan|origin:Sparta|pleiades:570685;Sparta;570685;Sparthan;FALSE;31785.0;Sparta;37.08184552460426;22.424682546177092;precise;14
7083d1b7-1554-4541-bb3b-23506a9785d8;book3_thucydides_utf8.txt;Paches;char-offset:34873;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;34873.0;Athenae;37.97158606761233;23.723824697002375;rough;14
93aff4f8-3343-45c3-9225-d7faf3109846;book3_thucydides_utf8.txt;Paches;char-offset:36338;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;36338.0;Athenae;37.97158606761233;23.723824697002375;rough;14
8dc923ba-bf4d-4590-8b0a-1e34659484b7;book3_thucydides_utf8.txt;Paches;char-offset:31052;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;31052.0;Athenae;37.97158606761233;23.723824697002375;rough;14
59605c49-ffd1-4dea-92dd-b1268a3b3557;book3_thucydides_utf8.txt;Alcidas;char-offset:34526;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;34526.0;Sparta;37.08184552460426;22.424682546177092;precise;14
bf8f595c-fa9a-4062-9c8e-00a50b7ea233;book3_thucydides_utf8.txt;Alcidas;char-offset:34160;PERSON;side:Sparthan|origin:Sparta|pleiades:570685;Sparta;570685;Sparthan;FALSE;34160.0;Sparta;37.08184552460426;22.424682546177092;precise;14
0af581df-2d3c-463c-a436-d0ea93005b89;book3_thucydides_utf8.txt;Paches;char-offset:37146;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;37146.0;Athenae;37.97158606761233;23.723824697002375;rough;14
bb6c7790-a485-4582-ae27-5a1632864db7;book3_thucydides_utf8.txt;Paches;char-offset:30895;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;30895.0;Athenae;37.97158606761233;23.723824697002375;rough;14
2712866d-3ae0-4878-b3a4-def80ce6bc1c;book3_thucydides_utf8.txt;Paches;char-offset:30534;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;30534.0;Athenae;37.97158606761233;23.723824697002375;rough;14
b632f242-bf0d-4e25-b27b-132fbcdc975c;book3_thucydides_utf8.txt;Alcidas;char-offset:33418;PERSON;side:Sparthan|origin:Sparta|pleiades:570685;Sparta;570685;Sparthan;FALSE;33418.0;Sparta;37.08184552460426;22.424682546177092;precise;14
fbd602bd-c42e-4acd-ad54-a18d3521b4a2;book3_thucydides_utf8.txt;Paches;char-offset:38380;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;38380.0;Athenae;37.97158606761233;23.723824697002375;rough;14
b65e4812-ca5d-4991-bda8-f4f1049e6047;book3_thucydides_utf8.txt;Paches;char-offset:35228;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;35228.0;Athenae;37.97158606761233;23.723824697002375;rough;14
b0521b1a-3577-4e72-a6a3-e5fb22edaaf2;book3_thucydides_utf8.txt;Eurylochus;char-offset:129328;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;129328.0;Sparta;37.08184552460426;22.424682546177092;precise;12
991eefda-40ab-4edc-a9f3-2465ec6278b3;book3_thucydides_utf8.txt;Eurylochus;char-offset:133761;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;133761.0;Sparta;37.08184552460426;22.424682546177092;precise;12
7acb78f3-d1eb-43f3-994b-9fbafd612d8f;book3_thucydides_utf8.txt;Eurylochus;char-offset:132556;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;132556.0;Sparta;37.08184552460426;22.424682546177092;precise;12
45459782-56cf-4514-bafa-e9096a9c93f5;book3_thucydides_utf8.txt;Eurylochus;char-offset:133017;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;133017.0;Sparta;37.08184552460426;22.424682546177092;precise;12
bd76af88-732c-4b10-98d0-b584d5483a20;book3_thucydides_utf8.txt;Eurylochus;char-offset:128747;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;128747.0;Sparta;37.08184552460426;22.424682546177092;precise;12
4b193c65-fdcf-41e1-add8-a1734f3fae32;book3_thucydides_utf8.txt;Eurylochus;char-offset:122860;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;122860.0;Sparta;37.08184552460426;22.424682546177092;precise;12
7c70b949-a3bb-4768-bb0d-c714179445d7;book3_thucydides_utf8.txt;Eurylochus;char-offset:125212;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;125212.0;Sparta;37.08184552460426;22.424682546177092;precise;12
0b3af1e4-254e-473e-805f-1d8daf8a5ca8;book3_thucydides_utf8.txt;Eurylochus;char-offset:124675;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;124675.0;Sparta;37.08184552460426;22.424682546177092;precise;12
4522a114-0702-45a7-be59-bb606e96d4e5;book3_thucydides_utf8.txt;Eurylochus;char-offset:122741;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;122741.0;Sparta;37.08184552460426;22.424682546177092;precise;12
035d936d-5f12-4b08-b8a1-701760583e44;book3_thucydides_utf8.txt;Eurylochus;char-offset:123681;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;123681.0;Sparta;37.08184552460426;22.424682546177092;precise;12
2eaa876e-977f-4072-8ae9-d42cd0b09e3f;book3_thucydides_utf8.txt;Eurylochus;char-offset:129876;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;129876.0;Sparta;37.08184552460426;22.424682546177092;precise;12
2e8108f7-47d3-41f7-9cf5-3f2d5e9d7c9b;book3_thucydides_utf8.txt;Eurylochus;char-offset:130079;PERSON;origin:Sparta|pleiades:570685|side:Sparthan;Sparta;570685;Sparthan;FALSE;130079.0;Sparta;37.08184552460426;22.424682546177092;precise;12
a7d69479-3dcc-4abd-adbf-bdfa2f3173b8;book3_thucydides_utf8.txt;Cleon;char-offset:39062;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;39062.0;Athenae;37.97158606761233;23.723824697002375;rough;7
b50aa0d7-831d-4f1b-b9b2-e67dba8558cd;book3_thucydides_utf8.txt;Cleon;char-offset:58259;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;58259.0;Athenae;37.97158606761233;23.723824697002375;rough;7
aa027492-8464-45db-be53-de2390e87577;book3_thucydides_utf8.txt;Cleon;char-offset:57940;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;57940.0;Athenae;37.97158606761233;23.723824697002375;rough;7
cdc24a82-b975-4812-a523-7ea6156f2de0;book3_thucydides_utf8.txt;Cleon;char-offset:56802;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;56802.0;Athenae;37.97158606761233;23.723824697002375;rough;7
91367bb3-f339-402e-9f3d-befaa79fd22d;book3_thucydides_utf8.txt;Cleon;char-offset:52399;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;52399.0;Athenae;37.97158606761233;23.723824697002375;rough;7
62899bf9-3c1a-4e18-a632-ae5af7dccdce;book3_thucydides_utf8.txt;Cleon;char-offset:59992;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;59992.0;Athenae;37.97158606761233;23.723824697002375;rough;7
2ecf140d-4ca0-41d6-b9d3-ceee2ab379f5;book3_thucydides_utf8.txt;Cleon;char-offset:48537;PERSON;origin:Athens|pleiades:579885|side:Athenian;Athens;579885;Athenian;FALSE;48537.0;Athenae;37.97158606761233;23.723824697002375;rough;7
