UUID;FILE;QUOTE_TRANSCRIPTION;ANCHOR;TYPE;TAGS
aeea2ce9-536e-4586-ba99-cf3d51e43068;book3_thucydides_utf8.txt;Tanagraeans;char-offset:112079;PERSON;group|origin:Tanagra|pleiades:580114|side:Sparthan
ac8d5239-f66e-4a66-b5af-6ed3a6cb3adf;book3_thucydides_utf8.txt;Nicias;char-offset:112194;PERSON;origin:Athens|pleiades:579885|side:Athenian
d92a4568-e7b2-4343-a814-26482abd3d1d;book3_thucydides_utf8.txt;Lacedaemonians;char-offset:112322;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
2ac20da7-8727-4b10-92d1-2a9c72b4ead3;book3_thucydides_utf8.txt;Trachinians;char-offset:112495;PERSON;group|origin:Trachis|pleiades:541157|side:Sparthan
c83fc1fc-82b4-4707-8f95-41ede1ff5469;book3_thucydides_utf8.txt;Oetaeans;char-offset:112585;PERSON;group|origin:Oeta|pleiades:540968|side:Athenian
6d49659e-10db-42a6-8c22-baf87326b177;book3_thucydides_utf8.txt;Tisamenus;char-offset:112753;PERSON;origin:Trachis|pleiades:541157|side:Sparthan
02dbb1d0-39b2-4266-984c-bb9a34c8a559;book3_thucydides_utf8.txt;Lacedaemonians,;char-offset:112860;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
29535a8b-17e9-4119-9ae5-824fb85022cb;book3_thucydides_utf8.txt;Lacedaemonians;char-offset:112981;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
8b11fc15-86b0-4b1d-9a73-5b9595c9df5f;book3_thucydides_utf8.txt;Trachinians;char-offset:113053;PERSON;group|origin:Trachis|pleiades:541157|side:Sparthan
01d8a734-046d-4c5a-8af3-c523c91f1566;book3_thucydides_utf8.txt;Athenians;char-offset:113194;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
92760835-a45b-4b1a-8958-e655faad3aa1;book3_thucydides_utf8.txt;Lacedaemonians;char-offset:113407;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
7a549aa8-a3dd-4ea0-9163-aff37bce2a39;book3_thucydides_utf8.txt;Lacedaemonians;char-offset:113724;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
398552c7-f42a-4ee2-8cfe-baf610a72ba5;book3_thucydides_utf8.txt;Leon;char-offset:113774;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
55149515-051b-403f-a698-4981f8efd0e0;book3_thucydides_utf8.txt;Alcidas;char-offset:113780;PERSON;side:Sparthan|origin:Sparta|pleiades:570685
bc93c684-d2d7-47ca-99bd-8ddd2bb42921;book3_thucydides_utf8.txt;Damagon;char-offset:113793;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
7230d5b4-1b52-4bc1-ac88-cb5e12cb38fd;book3_thucydides_utf8.txt;Thessalians;char-offset:114414;PERSON;group|origin:Thessalia|pleiades:1332|side:Athenian
0e5b8ad4-3564-4976-9b46-279b91a521bc;book3_thucydides_utf8.txt;Lacedaemonians,;char-offset:114788;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
98d0fda4-d183-4ff6-9543-bd6d1bf38fb3;book3_thucydides_utf8.txt;Lacedaemonians;char-offset:114865;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
6ead4723-ed4d-4c56-b0ad-64e9c83a467c;book3_thucydides_utf8.txt;Athenians;char-offset:115238;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
2018516b-ba96-4ba0-8e92-408c2e9db3aa;book3_thucydides_utf8.txt;Acarnanians;char-offset:115522;PERSON;origin:Acarnania|pleiades:530767|side:Athenian|group
cca54571-e62e-49a8-a8a8-443712c19069;book3_thucydides_utf8.txt;Zacynthians;char-offset:115562;PERSON;origin:Zacynthus|pleiades:531154|side:Athenian|group
f6bb7ed6-36ef-4b65-9e27-700b86272209;book3_thucydides_utf8.txt;Cephallenans;char-offset:115578;PERSON;orign:Cephallania|pleiades:530826|side:Athenian|group
43de57c5-8832-4a95-8764-006e3f6769e2;book3_thucydides_utf8.txt;Leucadians;char-offset:115637;PERSON;group|origin:Leucas|pleiades:530975|side:Sparthan
ee5c5990-6a43-4347-a169-29258ae2aa34;book3_thucydides_utf8.txt;Acarnanians;char-offset:115867;PERSON;origin:Acarnania|pleiades:530767|side:Athenian|group
205626a5-255b-4017-b12a-5bdbb64ff830;book3_thucydides_utf8.txt;Demosthenes;char-offset:115885;PERSON;origin:Athens|pleiades:579885|side:Athenian
554dc832-4565-4755-859b-bebf3a983fec;book3_thucydides_utf8.txt;Demosthenes;char-offset:116106;PERSON;origin:Athens|pleiades:579885|side:Athenian
f00562f4-e237-418d-b0ba-3448edff0cdc;book3_thucydides_utf8.txt;Messenians;char-offset:116169;PERSON;origin:Messenia|pleiades:570480|side:Athenian|group
1d3f002e-9973-47de-868f-9b3445538c94;book3_thucydides_utf8.txt;Aetolians;char-offset:116269;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
8881435f-28e8-4eb6-a5d8-658f91c3e618;book3_thucydides_utf8.txt;Athenians;char-offset:116426;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
0cd88dc7-6a72-4024-a049-f61247f91bdf;book3_thucydides_utf8.txt;Messenians;char-offset:116607;PERSON;origin:Messenia|pleiades:570480|side:Athenian|group
7a0ac2cf-6731-454c-89ed-822f91e666cd;book3_thucydides_utf8.txt;Demosthenes;char-offset:117011;PERSON;origin:Athens|pleiades:579885|side:Athenian
43ce5957-3668-471c-b668-8b93025d55d9;book3_thucydides_utf8.txt;Messenians;char-offset:117057;PERSON;origin:Messenia|pleiades:570480|side:Athenian|group
307fe677-54ed-4c4f-a813-a0d3e9c2cd22;book3_thucydides_utf8.txt;Aetolians;char-offset:117111;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
5107d367-de5e-43e4-9612-022d21f4bc57;book3_thucydides_utf8.txt;Boeotians;char-offset:117215;PERSON;group|origin:Boetia|pleiades:540689|side:Sparthan
5a3fb108-71fd-42f9-a333-ec967b9fa29b;book3_thucydides_utf8.txt;Phocians;char-offset:117329;PERSON;side:Sparthan|group|origin:Phocis|pleiades:541048
00c75edf-ac42-4d64-b50f-2972a3c428bb;book3_thucydides_utf8.txt;Acarnanians;char-offset:117595;PERSON;origin:Acarnania|pleiades:530767|side:Athenian|group
7fcb6b4c-3588-454d-9c07-98263e437df3;book3_thucydides_utf8.txt;Cephallenians;char-offset:117840;PERSON;group|origin:Cephallania|pleiades:530826|side:Athenian
05869311-af05-4f08-9a25-a01669827b39;book3_thucydides_utf8.txt;Messenians;char-offset:117859;PERSON;origin:Messenia|pleiades:570480|side:Athenian|group
26c7083d-aa40-4681-aa7f-25e220f19afe;book3_thucydides_utf8.txt;Zacynthians;char-offset:117875;PERSON;origin:Zacynthus|pleiades:531154|side:Athenian|group
48a7a26c-d95b-49c3-8bba-31075458f5bd;book3_thucydides_utf8.txt;Corcyraean vessels;char-offset:117955;PERSON;group|origin:Corcyra|pleiades:530834|side:Athenian
16975ac1-d3c8-4fc0-82bf-c013f0a79c8e;book3_thucydides_utf8.txt;Locrians;char-offset:118105;PERSON;origin:Locri|pleiades:452369|side:Sparthan|group
ca73eaf2-7d76-442c-8f15-b018cbecc609;book3_thucydides_utf8.txt;Aetolians;char-offset:118219;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
62b95a64-945e-4dde-8870-0d1368f43cc4;book3_thucydides_utf8.txt;Demosthenes;char-offset:118630;PERSON;origin:Athens|pleiades:579885|side:Athenian
c15133cc-971c-479e-995d-eb04089fc508;book3_thucydides_utf8.txt;Aetolians;char-offset:119027;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
5af7d4eb-311c-4c03-8e5e-609bb001ae22;book3_thucydides_utf8.txt;Messenians;char-offset:119328;PERSON;origin:Messenia|pleiades:570480|side:Athenian|group
c6ebc839-02cc-4236-ae5e-137d00fcd314;book3_thucydides_utf8.txt;Demosthenes;char-offset:119392;PERSON;origin:Athens|pleiades:579885|side:Athenian
05253ef4-d804-4ae5-8c4f-df7736b2b15c;book3_thucydides_utf8.txt;Aetolians;char-offset:119413;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
bc22aa05-b183-408a-aca4-470a06000965;book3_thucydides_utf8.txt;Aetolians;char-offset:120056;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
26d3ee8e-aab2-4968-a51a-c4bf65e12bfb;book3_thucydides_utf8.txt;Athenians;char-offset:120115;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
21a67699-f5fd-46fc-9298-13648e615c3f;book3_thucydides_utf8.txt;Athenians;char-offset:120403;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
018c0864-c5b7-4b85-87aa-4f528d6178a8;book3_thucydides_utf8.txt;Aetolians;char-offset:120537;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
6be00042-3830-4681-a0d2-5fe74d697a71;book3_thucydides_utf8.txt;Aetolians;char-offset:120756;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
416185e6-6ac0-44d4-97d9-9d6f6d579bb5;book3_thucydides_utf8.txt;Chromon;char-offset:120920;PERSON;origin:Messenia|pleiades:570480|side:Athenian
d629f6ec-96ed-46e4-bd18-adb29a4f370b;book3_thucydides_utf8.txt;Aetolians;char-offset:121060;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
b40158dc-ee80-4b8c-bb1c-ded7195bcadd;book3_thucydides_utf8.txt;Procles;char-offset:121710;PERSON;origin:Athens|pleiades:579885|side:Athenian
74b929ae-4d35-48ea-ade0-c465a4e1a64f;book3_thucydides_utf8.txt;Demosthenes;char-offset:121736;PERSON;origin:Athens|pleiades:579885|side:Athenian
111837e4-e57a-4fbe-b6ed-d7bb92bb9673;book3_thucydides_utf8.txt;Athenians;char-offset:121767;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
e23ad92f-94e4-479d-ae86-4f4db45100d0;book3_thucydides_utf8.txt;Demosthenes;char-offset:121901;PERSON;origin:Athens|pleiades:579885|side:Athenian
b3b60cf9-f0b3-4993-bf2f-21e0a2f3a359;book3_thucydides_utf8.txt;Athenians;char-offset:121991;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
c47ccea8-52c7-41f4-a406-211d8dc423d9;book3_thucydides_utf8.txt;Athenians;char-offset:122049;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
b551844a-0da6-44fa-ad34-c6a7471be606;book3_thucydides_utf8.txt;Locrians;char-offset:122161;PERSON;origin:Locri|pleiades:452369|side:Sparthan|group
c98c3054-dc16-4338-a09e-19d49e9feab2;book3_thucydides_utf8.txt;Aetolians;char-offset:122256;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
dd453c3d-5641-441e-a690-2ca94cfdf151;book3_thucydides_utf8.txt;Tolophus;char-offset:122361;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan
d467ea07-6578-4880-8b3d-5d43c9c5eac0;book3_thucydides_utf8.txt;Boriades;char-offset:122385;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan
b43fbc18-f450-4b46-8d3e-9882222cdeb6;book3_thucydides_utf8.txt;Tisander;char-offset:122414;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan
47733f1e-0cec-4e45-9454-b5e332e7bcbc;book3_thucydides_utf8.txt;Lacedaemonians;char-offset:122548;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
4522a114-0702-45a7-be59-bb606e96d4e5;book3_thucydides_utf8.txt;Eurylochus;char-offset:122741;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
3b41e116-b53b-4ab3-933b-55b3dd04ee75;book3_thucydides_utf8.txt;Macarius;char-offset:122779;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
ff196dd3-aedc-4846-a462-6042da5bf8d6;book3_thucydides_utf8.txt;Menedaius;char-offset:122792;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
4b193c65-fdcf-41e1-add8-a1734f3fae32;book3_thucydides_utf8.txt;Eurylochus;char-offset:122860;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
55c4ad77-94cd-44d6-a364-5ada1da65e81;book3_thucydides_utf8.txt;Locrians;char-offset:122900;PERSON;origin:Locri|pleiades:452369|side:Sparthan|group
ef703a0d-f6ad-4e37-9748-757dfec01676;book3_thucydides_utf8.txt;Amphissians;char-offset:123077;PERSON;group|origin:Amphissa|pleiades:540630|side:Sparthan
fb72f905-d5c0-4f93-bb5f-06dca289dd1a;book3_thucydides_utf8.txt;Phocians;char-offset:123131;PERSON;side:Sparthan|group|origin:Phocis|pleiades:541048
035d936d-5f12-4b08-b8a1-701760583e44;book3_thucydides_utf8.txt;Eurylochus;char-offset:123681;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
7fb2d6f9-2199-479f-8ebe-e53233470274;book3_thucydides_utf8.txt;Locrians;char-offset:123790;PERSON;origin:Locri|pleiades:452369|side:Sparthan|group
523de267-9de8-43e2-b8a3-23e5e68ae51e;book3_thucydides_utf8.txt;Aetolians;char-offset:123961;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
2fc1425d-b8a0-4b24-8bca-b4836c6cfe8d;book3_thucydides_utf8.txt;Demosthenes;char-offset:124154;PERSON;origin:Athens|pleiades:579885|side:Athenian
f8b29f92-3ab5-4207-90f2-a2ee59356a54;book3_thucydides_utf8.txt;Acarnanians;char-offset:124307;PERSON;origin:Acarnania|pleiades:530767|side:Athenian|group
0b3af1e4-254e-473e-805f-1d8daf8a5ca8;book3_thucydides_utf8.txt;Eurylochus;char-offset:124675;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
cb484e7b-9e2e-4be6-90b6-aced68f18334;book3_thucydides_utf8.txt;Ambraciots;char-offset:124958;PERSON;origin:Ambracia|pleiades:530794|side:Sparthan|group
7c70b949-a3bb-4768-bb0d-c714179445d7;book3_thucydides_utf8.txt;Eurylochus;char-offset:125212;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
148fde26-0f5f-4a33-a529-8e219905b105;book3_thucydides_utf8.txt;Aetolians;char-offset:125253;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
49e383cf-ed6a-4c67-80a7-12bec2b80cab;book3_thucydides_utf8.txt;Ambraciots;char-offset:125348;PERSON;origin:Ambracia|pleiades:530794|side:Sparthan|group
30575755-3426-4922-8cb8-d7efbafb2b71;book3_thucydides_utf8.txt;Athenians;char-offset:125467;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
9c71d265-234c-46f0-818b-022be7e11391;book3_thucydides_utf8.txt;Syracusans;char-offset:125694;PERSON;group|origin:Syracusae|pleiades:462503|side:Sparthan
61335cc1-5ce3-44e9-a8ee-5cb29e085530;book3_thucydides_utf8.txt;Athenians;char-offset:125821;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
1c9ba1c2-3cd3-4471-ae3d-38ac1af96f40;book3_thucydides_utf8.txt;Syracusans;char-offset:125852;PERSON;group|origin:Syracusae|pleiades:462503|side:Sparthan
5691a9de-86ae-43ac-b3d4-edf4e3db476b;book3_thucydides_utf8.txt;Laches;char-offset:125954;PERSON;origin:Athens|pleiades:579885|side:Athenian
1991c9b6-13cc-4c76-b9f0-ab32994e2303;book3_thucydides_utf8.txt;Athenians;char-offset:125969;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
8f7833a9-1a9a-4439-b3cf-ca0cd5191aae;book3_thucydides_utf8.txt;Locrians;char-offset:126042;PERSON;origin:Locri|pleiades:452369|side:Sparthan|group
6e5c9f1b-b630-44f8-a5da-a191088a32d3;book3_thucydides_utf8.txt;Proxenus;char-offset:126079;PERSON;origin:Locri|pleiades:452369|side:Sparthan
2990bc95-6db7-473c-9e7d-0c65b9ea1136;book3_thucydides_utf8.txt;Capaton;char-offset:126096;PERSON;origin:Locri|pleiades:452369|side:Sparthan
10c07c60-fd16-4e11-8862-7801e081c8ca;book3_thucydides_utf8.txt;Athenians;char-offset:126183;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
